Substance;EDGAR Country Code;Country;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
CO2;ABW;Aruba;0,426896514;0,484989097;0,659627479;0,735179844;0,71816593;0,946243199;0,931286271;1,111548938;1,19689502;1,265739205;1,327869232;1,369098953;1,339395137;1,357909324;1,569624281;1,652929441;1,816326793;2,082005983;2,339426297;3,235545659;3,04632581;3,332922187;3,502494058;3,325778763;3,474528634;3,667530736;2,332602238;3,725193744;3,73319953;3,547604118;2,708598486;2,734953091;2,869825897;3,263427746;3,311406035;3,58111667;3,823880282;4,193743873;4,151541041;4,515024157;4,426788128;2,698685871;3,592850218;4,117667887;4,19336351;4,185659887;4,328673435;4,054967221;4,36359734;5,033781032;4,261513436;4,093015559;4,252942655
CO2;AFG;Afghanistan;0,155854523;0,151854333;0,14448787;0,144156277;0,177758706;0,1611461;0,147394644;0,174664533;0,146095921;0,154747628;0,151435846;0,173111141;0,181139851;0,242269312;0,267660281;0,349926096;0,339749645;0,284508491;0,267553676;0,245885386;0,236465526;0,212899107;0,120348611;0,10654304;0,09496085;0,079505775;0,074716656;0,071561848;0,070282777;0,066133091;0,053310811;0,047137573;0,044262294;0,045903209;0,038938832;0,053202656;0,057055066;0,077529302;0,147636159;0,231622799;0,280742492;0,397212065;0,331517298;0,273892482;0,25275311;0,25846175;0,229030134;0,240553433;0,223486239;0,200163961;0,143704887;0,144914796;0,142679001
CO2;AGO;Angola;1,320491618;1,231910799;1,463559202;1,561883746;1,582461657;1,421949589;0,925304776;1,482116717;1,69915829;1,642923478;1,605243508;1,433088805;1,334513049;1,333450107;1,302062107;1,332099327;1,307648345;1,296610208;1,302439792;1,281710585;0,927488319;0,94328395;0,939710819;0,910465578;0,835023471;0,913111679;1,073553143;1,092820153;1,104659005;1,136261235;1,00989169;0,958767636;0,911931994;0,957976612;0,943714153;0,816474257;0,825303763;0,820831159;0,895659192;0,945070743;0,982572723;0,984971403;0,96342131;1,069794288;1,128699914;1,170037459;1,059908901;0,87755922;0,801006622;0,796745639;0,631150678;0,636118474;0,576931189
CO2;AIA;Anguilla;0,340088506;0,337573918;0,349667781;0,323136135;0,357767768;0,391258645;0,366988787;0,380854222;0,433947363;0,48007682;0,65985742;0,999913762;1,066851288;0,93261709;0,886850896;0,552461195;0,460309281;0,852859005;0,766861315;0,773391133;0,735123904;0,876069699;0,88141332;1,075506928;1,378328026;1,674137342;1,613436571;1,317937344;1,181653017;1,090197369;1,404476632;1,40050801;0,930151644;1,174935592;1,093238054;1,082430339;0,994427358;0,940968289;1,144301752;1,48769994;1,744824176;1,865694718;1,843282477;1,955470265;1,93077324;1,918187418;1,920977597;1,95077389;1,877356898;1,819033918;1,491963186;1,467727768;1,52132526
CO2;ALB;Albania;2,254617508;2,198840235;2,450565185;2,149494955;2,261506174;2,251276287;2,353986049;2,464582148;2,654122485;3,023755301;3,012809264;2,586666686;2,609322399;2,742203795;2,906825578;2,722381969;2,681420469;2,657671897;2,56557275;2,430667187;2,025759505;1,337682297;0,729642088;0,697300925;0,746833909;0,666744171;0,664899922;0,511201359;0,617118543;0,98901497;1,034364343;1,101705163;1,284753993;1,353908015;1,425237919;1,347569339;1,354076417;1,404021331;1,402537291;1,443268854;1,550234844;1,695068727;1,553114388;1,634396013;1,746805156;1,665411637;1,547652151;1,825584372;1,796971828;1,686763366;1,462509127;1,480350798;1,522296976
CO2;ANT;Curaçao;101,0609089;99,80129345;95,91415412;105,025462;94,35949973;67,86161606;72,21210354;73,36069025;62,25663363;61,92758517;58,63507614;54,26109377;49,02638723;45,65345411;44,54921351;29,91950759;28,63633783;26,55509745;23,31821986;20,05774335;18,17939538;18,91326499;19,74664205;16,23831073;18,36381632;18,56748093;19,01779454;37,99334901;40,02981085;40,54441876;42,90326182;43,41752302;42,07286838;42,39070672;43,95491621;45,6772965;43,81255616;46,18194195;44,3469861;40,8248674;29,03336793;36,64208192;36,63472086;33,17459102;36,20542899;36,30364046;31,15347815;24,95298612;19,99310598;15,40540034;12,54705657;12,04740704;12,40505228
CO2;ARE;United Arab Emirates;82,50230609;91,08146602;83,26417943;90,1170794;76,27725209;66,06703044;70,35491898;61,23272616;61,65912718;39,72293135;39,41091551;33,9055788;31,96398517;29,33131804;37,88065482;37,22148924;34,09430467;33,33487112;30,76554482;32,39109401;30,54861717;32,81722929;29,92672394;29,8271214;31,13108752;31,57807738;31,43373731;31,19398257;30,44228209;29,81163421;28,01336024;30,42230443;29,49599678;29,06042014;28,11659582;26,72304926;24,24808011;22,67626401;23,81148521;21,55599506;20,7807046;20,42932874;20,88262687;21,74221055;21,91896939;22,68204232;23,00047738;21,82902858;19,6933379;20,50611602;20,48289586;21,5810891;21,74727639
CO2;ARG;Argentina;3,629354361;3,583966998;3,598117124;3,658172706;3,617446747;3,466853938;3,588848997;3,680215892;3,593526536;3,742318124;3,597102783;3,439928982;3,356206852;3,420283117;3,347962818;3,077821769;3,268775648;3,400573072;3,467518414;3,314238351;3,041017781;3,159084423;3,172696274;3,245333051;3,303664843;3,30738761;3,560755321;3,636420659;3,790129746;3,800479352;3,67303803;3,482384756;3,24338405;3,501968886;3,845480878;3,902713404;4,092380009;4,285941945;4,374127958;4,004704158;4,25480255;4,423141278;4,414098634;4,504927595;4,369059832;4,462574419;4,366721573;4,256344865;4,168453249;3,936501308;3,604146678;3,95197628;3,973684236
CO2;ARM;Armenia;5,019110049;5,030967852;5,191199642;5,365114096;5,517747188;5,76128547;5,794695596;5,828390266;5,947872179;6,000824478;6,189301987;6,044029235;6,054197171;5,931496794;5,893088087;5,84134448;5,849227124;5,916555277;5,897925755;5,828368876;5,82355754;6,12362824;3,17185015;1,514395865;0,855249173;1,100670934;0,818787912;1,065527902;1,117085389;1,004915149;1,162895482;1,190994179;1,022227566;1,150065391;1,252751703;1,496843506;1,502609055;1,757218335;1,942166509;1,558486764;1,494044013;1,705306072;1,967161639;1,89432624;1,882943193;1,828687883;1,736484593;1,836159617;1,940848419;2,105072927;2,281228705;2,356410931;2,151880054
CO2;ATG;Antigua and Barbuda;1,52557546;1,499948831;1,800870477;1,79364529;1,57948464;1,892949465;1,699894796;1,861840421;1,850843854;1,825417419;1,807311822;1,592113777;2,046065955;1,191788699;1,475378858;1,500462721;1,609041952;2,156326635;2,355095153;2,429599231;2,313267513;2,32549505;2,307480367;2,21315416;2,286729293;2,342328759;2,266372895;2,305904469;2,297831951;2,173042276;1,48432045;1,456511388;1,595584062;1,732295416;1,761959636;1,794405292;1,973792414;2,176107024;2,312559538;2,644819703;2,751483095;2,101383081;2,296726814;2,729065916;2,792326839;2,751162196;2,917068444;2,484102381;2,832794972;3,128743668;2,632991562;2,520965324;2,594869615
