Substance;EDGAR Country Code;Country;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
CO2;ABW;Aruba;0,093471292;0,09849099;0,103218745;0,097050738;0,099128235;0,106855794;0,069570012;0,106597525;0,106977856;0,102404652;0,074161985;0,07348634;0,079610578;0,091433843;0,088015047;0,096803859;0,103019076;0,110011599;0,107085521;0,131998947;0,133337418;0,078934106;0,10673457;0,115619417;0,118461207;0,114797587;0,116795852;0,104161173;0,106899738;0,122983685;0,128353085;0,105767784;0,094146157
CO2;AFG;Afghanistan;0,094548388;0,101383388;0,06068518;0,077302468;0,094959089;0,056064539;0,057971681;0,060368117;0,063738008;0,064835623;0,057275131;0,056023464;0,036180022;0,036178128;0,031644115;0,040404494;0,042477152;0,052125134;0,097940873;0,129874146;0,141574;0,205728981;0,157349617;0,127254112;0,118014858;0,122507514;0,10905088;0,114397788;0,107525189;0,094807687;0,071289398;0,092701446;0,093302385
CO2;AGO;Angola;0,164742737;0,171108906;0,187014898;0,246363328;0,230244439;0,22569967;0,24047217;0,234509895;0,232659068;0,240935116;0,214192091;0,201577637;0,174534026;0,184412676;0,169689555;0,1322737;0,124221029;0,112291136;0,114217937;0,123828429;0,127800079;0,12831968;0,11982463;0,131328892;0,136870117;0,145461308;0,139891371;0,119901827;0,114588797;0,118564695;0,102793394;0,105699576;0,096035342
CO2;AIA;Anguilla;0,024729646;0,039857308;0,031428805;0,038148938;0,048995916;0,060998789;0,062552307;0,052628613;0,041989206;0,036520377;0,050770846;0,052486742;0,040296921;0,044220103;0,037295652;0,031317403;0,027723729;0,022627703;0,027758278;0,051200431;0,062944048;0,068276342;0,073843143;0,092174944;0,096833334;0,112299701;0,125703897;0,148668854;0,187873051;0,122306011;0,107834823;0,098602277;0,090136584
CO2;ALB;Albania;0,419026004;0,383600484;0,223042246;0,191501385;0,186461492;0,145310473;0,132203156;0,114138905;0,127040383;0,1810432;0,177412067;0,17451173;0,194466963;0,193700684;0,192417989;0,171371105;0,161289924;0,156227338;0,143626367;0,141613766;0,145578899;0,154496725;0,13926046;0,145043454;0,152408698;0,142281288;0,128107144;0,145769656;0,138137054;0,127189117;0,11418586;0,106195393;0,104264978
CO2;ANT;Curaçao;0,939299715;0,951447182;0,975184124;0,790647401;0,864657985;0,84061654;0,821479623;1,5472379;1,538469549;1,46005347;1,479643366;1,487092398;1,419385015;1,41705634;1,467840164;1,529717137;1,471590449;1,555098479;1,506992963;1,436650849;1,046943219;1,339818148;1,36171893;1,258715039;1,404949818;1,41809553;1,238206635;1,016655442;0,838005158;0,67226009;0,675218398;0,623922302;0,570053369
CO2;ARE;United Arab Emirates;0,282419468;0,318571628;0,297746146;0,310013589;0,319331566;0,319264388;0,315382507;0,30379478;0,310733532;0,311344656;0,278652428;0,314621738;0,314024967;0,303384365;0,292680796;0,297197065;0,281034653;0,293678731;0,340877191;0,362134954;0,370690301;0,357362025;0,357803828;0,358821376;0,349765365;0,342055945;0,332722819;0,317887131;0,287327209;0,300261664;0,319837917;0,328374114;0,311915474
CO2;ARG;Argentina;0,215725865;0,208258525;0,196466775;0,188238588;0,18342954;0,191402957;0,197644464;0,188884296;0,19172359;0,201216931;0,198205418;0,198781599;0,210089711;0,210732022;0,214563218;0,202201929;0,198309612;0,19250689;0,190755607;0,187547523;0,182822133;0,181174389;0,184600622;0,185913048;0,186873067;0,18769269;0,189423612;0,181307268;0,184056358;0,178996673;0,183628495;0,184003163;0,177333987
CO2;ARM;Armenia;1,124218591;1,326300537;1,15939158;0,592906255;0,310184398;0,365886514;0,253181753;0,315329632;0,305718902;0,264547724;0,287269624;0,266783046;0,201163405;0,197466934;0,193554363;0,201730468;0,1775347;0,181027249;0,185577851;0,172192996;0,160890295;0,175290225;0,189042731;0,176934437;0,17050686;0,161051632;0,153038987;0,150819126;0,151730371;0,15307994;0,178882455;0,174888247;0,141837668
CO2;ATG;Antigua and Barbuda;0,159606987;0,158471292;0,158029865;0,147146664;0,146156259;0,160678253;0,149813171;0,148552836;0,145184506;0,135680011;0,089133875;0,09324589;0,102543883;0,106206815;0,103257152;0,099879049;0,098625182;0,100655414;0,108267545;0,142325976;0,16252224;0,128010111;0,136840689;0,165356546;0,164751949;0,158000104;0,160455452;0,133851813;0,144343118;0,154315574;0,158971649;0,144055161;0,137997539
