EDGAR Country Code;Country;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
ABW;Aruba;0,105840005;0,110602228;0,115211366;0,108832735;0,110675295;0,118680154;0,080929526;0,118308596;0,118813424;0,114267385;0,101189005;0,099535856;0,106071895;0,119053276;0,115803582;0,125022976;0,123059161;0,129812972;0,125485655;0,15184214;0,150354613;0,09662228;0,118736768;0,126220631;0,129301765;0,125239508;0,12718835;0,114006821;0,116399315;0,132653502;0,139995684;0,115727234;0,10275628
AFG;Afghanistan;0,449668826;0,507756854;0,465382087;0,628268703;0,817943053;0,5618655;0,651665484;0,737066483;0,812975992;0,906398947;0,857906217;0,81559405;0,633867994;0,605922356;0,599395244;0,551051871;0,530794602;0,495530438;0,561208669;0,526859307;0,528580621;0,600946259;0,501965242;0,452435014;0,444916418;0,438469363;0,41996607;0,42527314;0,415870896;0,385993164;0,366970502;0,475961611;0,478660557
AGO;Angola;0,510142964;0,503235974;0,520980761;0,762616986;0,974659705;0,975982279;1,027784827;0,998562396;1,025231906;1,013566411;0,921879561;0,857936426;0,741180809;0,72231964;0,709370066;0,609279144;0,494433536;0,428156221;0,41049506;0,413558549;0,43485762;0,412542817;0,388606566;0,391847638;0,383723627;0,402117917;0,398955785;0,375650467;0,363591245;0,36250836;0,355638585;0,341278058;0,31628554
AIA;Anguilla;0,035708213;0,054927078;0,04325514;0,050091229;0,061326109;0,074167288;0,076553387;0,066703196;0,054345547;0,048140955;0,063311735;0,065783299;0,055004711;0,057205987;0,049001717;0,041246246;0,037225771;0,030724046;0,036807787;0,063325977;0,075939089;0,081545102;0,088336195;0,109349508;0,115066235;0,13350211;0,149503521;0,176324517;0,223699354;0,146226655;0,132924267;0,122122226;0,11098784
ALB;Albania;0,729207637;0,795336093;0,58437805;0,536526997;0,550558607;0,46068438;0,405479025;0,401371036;0,386592872;0,413655693;0,398384181;0,37772382;0,391787608;0,380110873;0,369430518;0,333295547;0,316490039;0,297013062;0,268894247;0,259426418;0,260013314;0,266068606;0,253443786;0,25887554;0,269044354;0,258515239;0,239346686;0,252915956;0,241784036;0,224396053;0,208670024;0,192454043;0,18554347
ANT;Curaçao;1,006075652;1,01782544;1,046014785;0,85862733;0,934095279;0,908087144;0,887100791;1,616553387;1,60751125;1,522032864;1,540016463;1,550447544;1,476935474;1,4728248;1,527510597;1,590743029;1,529073898;1,613463389;1,56471176;1,489940791;1,087218638;1,389090178;1,412759124;1,309443686;1,458936439;1,470097623;1,289169738;1,058686233;0,876635124;0,703565115;0,710434469;0,657304766;0,600031606
ARE;United Arab Emirates;0,421385202;0,463959675;0,443890179;0,471163938;0,467729554;0,46514639;0,462648189;0,436744183;0,439608966;0,438634723;0,40269804;0,442130886;0,43663189;0,424436378;0,405477024;0,411941012;0,390733955;0,401396874;0,44636786;0,473212556;0,485097691;0,46959581;0,469090226;0,468111423;0,455265772;0,449288435;0,438760319;0,419810642;0,387576819;0,406358072;0,431668913;0,439094233;0,420702615
ARG;Argentina;0,569314136;0,529657916;0,494500775;0,461579366;0,445477283;0,463572037;0,451455641;0,424970718;0,416078669;0,441525581;0,442205717;0,456218292;0,510138708;0,505141132;0,492380231;0,456392171;0,43924909;0,410568657;0,395324833;0,393998693;0,360949201;0,347859823;0,356471008;0,357290629;0,364856747;0,3633875;0,371884894;0,364831454;0,37376907;0,376806944;0,401931894;0,383742866;0,369042665
ARM;Armenia;1,329837177;1,540944722;1,4907058;0,900352839;0,595891361;0,627553997;0,500166529;0,55109888;0,517168416;0,469408487;0,485583999;0,453636691;0,372527954;0,35281446;0,343856404;0,335864193;0,2955918;0,286870165;0,283954427;0,281165948;0,265575329;0,276071254;0,286588035;0,277745869;0,270532681;0,260198694;0,253964754;0,241723165;0,234071504;0,22948214;0,261568766;0,252508148;0,210228485
ATG;Antigua and Barbuda;0,255094693;0,252937883;0,252117839;0,237948877;0,233486493;0,253037693;0,237054002;0,232509397;0,22635357;0,214862243;0,162389938;0,1702333;0,17908474;0,179181426;0,172889637;0,165418868;0,156719824;0,153889552;0,162523445;0,201940963;0,213365312;0,178535936;0,186068172;0,215357837;0,213266782;0,20486737;0,205492352;0,177331271;0,18555931;0,19368756;0,206043163;0,188129844;0,178839663
