Date,Price ($)
2020-08-14,15.37
2020-08-15,11.10
2020-08-16,6.82
2020-08-17,5.80
2020-08-18,4.36
2020-08-19,3.59
2020-08-20,3.90
2020-08-21,3.86
2020-08-22,3.22
2020-08-23,3.07
2020-08-24,2.68
2020-08-25,2.88
2020-08-26,2.87
2020-08-27,3.64
2020-08-28,3.37
2020-08-29,3.53
2020-08-30,3.11
2020-08-31,3.56
2020-09-01,4.28
2020-09-02,5.44
2020-09-03,4.38
2020-09-04,2.94
2020-09-05,2.89
2020-09-06,1.90
2020-09-07,2.17
2020-09-08,2.09
2020-09-09,1.84
2020-09-10,1.97
2020-09-11,1.96
2020-09-12,1.90
2020-09-13,2.07
2020-09-14,1.91
2020-09-15,1.84
2020-09-16,1.41
2020-09-17,1.29
2020-09-18,1.33
2020-09-19,1.25
2020-09-20,1.48
2020-09-21,1.36
2020-09-22,1.10
2020-09-23,1.08
2020-09-24,0.89
2020-09-25,0.99
2020-09-26,0.97
2020-09-27,1.11
2020-09-28,1.04
2020-09-29,1.00
2020-09-30,0.95
2020-10-01,0.95
2020-10-02,0.86
2020-10-03,0.76
2020-10-04,0.76
2020-10-05,0.70
2020-10-06,0.63
2020-10-07,0.51
2020-10-08,0.52
2020-10-09,0.55
2020-10-10,0.63
2020-10-11,0.56
2020-10-12,0.56
2020-10-13,0.57
2020-10-14,0.55
2020-10-15,0.51
2020-10-16,0.50
2020-10-17,0.43
2020-10-18,0.44
2020-10-19,0.46
2020-10-20,0.41
2020-10-21,0.36
2020-10-22,0.38
2020-10-23,0.41
2020-10-24,0.38
2020-10-25,0.37
2020-10-26,0.34
2020-10-27,0.41
2020-10-28,0.64
2020-10-29,0.49
2020-10-30,0.44
2020-10-31,0.39
2020-11-01,0.42
2020-11-02,0.40
2020-11-03,0.36
2020-11-04,0.36
2020-11-05,0.34
2020-11-06,0.36
2020-11-07,0.44
2020-11-08,0.43
2020-11-09,0.47
2020-11-10,0.45
2020-11-11,0.56
2020-11-12,0.54
2020-11-13,0.56
2020-11-14,0.69
2020-11-15,0.71
2020-11-16,0.77
2020-11-17,0.83
2020-11-18,0.88
2020-11-19,0.76
2020-11-20,0.80
2020-11-21,0.85
2020-11-22,0.86
2020-11-23,0.75
2020-11-24,0.74
2020-11-25,0.69
2020-11-26,0.65
2020-11-27,0.59
2020-11-28,0.64
2020-11-29,0.61
2020-11-30,0.66
2020-12-01,0.67
2020-12-02,0.68
2020-12-03,0.80
2020-12-04,0.83
2020-12-05,0.69
2020-12-06,0.74
2020-12-07,0.70
2020-12-08,0.71
2020-12-09,0.61
2020-12-10,0.63
2020-12-11,0.60
2020-12-12,0.56
2020-12-13,0.59
2020-12-14,0.62
2020-12-15,0.64
2020-12-16,0.63
2020-12-17,0.65
2020-12-18,0.65
2020-12-19,0.64
2020-12-20,0.66
2020-12-21,0.61
2020-12-22,0.56
2020-12-23,0.56
2020-12-24,0.42
2020-12-25,0.48
2020-12-26,0.49
2020-12-27,0.47
2020-12-28,0.47
2020-12-29,0.50
2020-12-30,0.48
2020-12-31,0.58
2021-01-01,0.63
2021-01-02,0.62
2021-01-03,0.62
2021-01-04,0.67
2021-01-05,0.66
2021-01-06,0.69
2021-01-07,0.73
2021-01-08,0.72
2021-01-09,0.70
2021-01-10,0.77
2021-01-11,0.76
2021-01-12,0.62
2021-01-13,0.62
2021-01-14,0.69
2021-01-15,0.79
2021-01-16,1.16
2021-01-17,1.11
2021-01-18,1.68
2021-01-19,1.60
2021-01-20,1.35
2021-01-21,1.64
2021-01-22,1.67
2021-01-23,1.99
2021-01-24,2.14
2021-01-25,2.27
2021-01-26,2.01
2021-01-27,2.13
2021-01-28,1.81
2021-01-29,2.07
2021-01-30,2.05
2021-01-31,2.51
2021-02-01,2.52
2021-02-02,2.52
2021-02-03,2.51
2021-02-04,2.63
2021-02-05,3.05
2021-02-06,3.29
2021-02-07,3.15
2021-02-08,3.00
2021-02-09,3.09
2021-02-10,3.18
2021-02-11,3.08
2021-02-12,3.53
2021-02-13,3.39
2021-02-14,3.29
2021-02-15,3.00
2021-02-16,2.71
2021-02-17,2.67
2021-02-18,2.79
2021-02-19,2.81
2021-02-20,2.64
2021-02-21,2.94
2021-02-22,2.91
2021-02-23,2.60
2021-02-24,2.13
2021-02-25,2.16
2021-02-26,2.00
2021-02-27,1.94
2021-02-28,1.99
2021-03-01,1.76
2021-03-02,2.00
2021-03-03,2.55
2021-03-04,2.29
2021-03-05,2.08
2021-03-06,2.06
2021-03-07,2.05
2021-03-08,2.24
2021-03-09,2.36
2021-03-10,2.41
2021-03-11,2.22
2021-03-12,2.17
2021-03-13,2.05
2021-03-14,2.36
2021-03-15,2.13
2021-03-16,2.23
2021-03-17,2.61
2021-03-18,2.45
2021-03-19,2.61
2021-03-20,2.74
2021-03-21,2.71
2021-03-22,2.60
2021-03-23,2.37
2021-03-24,2.92
2021-03-25,2.53
2021-03-26,2.39
2021-03-27,2.63
2021-03-28,3.11
2021-03-29,3.01
2021-03-30,3.52
2021-03-31,3.29
2021-04-01,3.12
2021-04-02,3.31
2021-04-03,3.35
2021-04-04,2.93
2021-04-05,3.11
2021-04-06,3.29
2021-04-07,3.18
2021-04-08,2.90
2021-04-09,3.07
2021-04-10,2.98
2021-04-11,2.96
2021-04-12,3.10
2021-04-13,3.03
2021-04-14,3.13
2021-04-15,3.17
2021-04-16,4.01
2021-04-17,3.94
2021-04-18,3.80
2021-04-19,3.23
2021-04-20,2.82
2021-04-21,3.01
2021-04-22,2.90
2021-04-23,2.79
2021-04-24,2.64
2021-04-25,2.36
2021-04-26,2.37
2021-04-27,2.78
2021-04-28,3.10
2021-04-29,3.04
2021-04-30,3.02
2021-05-01,3.33
2021-05-02,3.41
2021-05-03,3.26
2021-05-04,3.24
2021-05-05,2.82
2021-05-06,3.10
2021-05-07,3.25
2021-05-08,3.65
2021-05-09,3.56
2021-05-10,3.43
2021-05-11,3.09
2021-05-12,3.32
2021-05-13,3.40
2021-05-14,3.39
2021-05-15,3.69
2021-05-16,3.20
2021-05-17,3.25
2021-05-18,3.08
2021-05-19,3.52
2021-05-20,2.00
2021-05-21,2.17
2021-05-22,1.84
2021-05-23,1.64
2021-05-24,1.34
2021-05-25,1.62
2021-05-26,1.60
2021-05-27,1.90
2021-05-28,1.75
