date,crv_token_holders
2020-08-12,1.00
2020-08-13,603.00
2020-08-14,3779.00
2020-08-15,4205.00
2020-08-16,4596.00
2020-08-17,4928.00
2020-08-18,5175.00
2020-08-19,5462.00
2020-08-20,5621.00
2020-08-21,5835.00
2020-08-22,5990.00
2020-08-23,6129.00
2020-08-24,6314.00
2020-08-25,6455.00
2020-08-26,6696.00
2020-08-27,6897.00
2020-08-28,7033.00
2020-08-29,7141.00
2020-08-30,7381.00
2020-08-31,7785.00
2020-09-01,8428.00
2020-09-02,8434.00
2020-09-03,8556.00
2020-09-04,8641.00
2020-09-05,8816.00
2020-09-06,8943.00
2020-09-07,9053.00
2020-09-08,9150.00
2020-09-09,9335.00
2020-09-10,9427.00
2020-09-11,9464.00
2020-09-12,9522.00
2020-09-13,9595.00
2020-09-14,9646.00
2020-09-15,9725.00
2020-09-16,9805.00
2020-09-17,9914.00
2020-09-18,9998.00
2020-09-19,10208.00
2020-09-20,10394.00
2020-09-21,10450.00
2020-09-22,10532.00
2020-09-23,10570.00
2020-09-24,10638.00
2020-09-25,10711.00
2020-09-26,10879.00
2020-09-27,11011.00
2020-09-28,11123.00
2020-09-29,11201.00
2020-09-30,11241.00
2020-10-01,11308.00
2020-10-02,11401.00
2020-10-03,11447.00
2020-10-04,11482.00
2020-10-05,11537.00
2020-10-06,11577.00
2020-10-07,11647.00
2020-10-08,11722.00
2020-10-09,11788.00
2020-10-10,11833.00
2020-10-11,11893.00
2020-10-12,11902.00
2020-10-13,11931.00
2020-10-14,11981.00
2020-10-15,12012.00
2020-10-16,12041.00
2020-10-17,12119.00
2020-10-18,12181.00
2020-10-19,12178.00
2020-10-20,12215.00
2020-10-21,12292.00
2020-10-22,12368.00
2020-10-23,12390.00
2020-10-24,12445.00
2020-10-25,12440.00
2020-10-26,12531.00
2020-10-27,12617.00
2020-10-28,12635.00
2020-10-29,12683.00
2020-10-30,12719.00
2020-10-31,12726.00
2020-11-01,12742.00
2020-11-02,12805.00
2020-11-03,12854.00
2020-11-04,12890.00
2020-11-05,12944.00
2020-11-06,12984.00
2020-11-07,12542.00
2020-11-08,12576.00
2020-11-09,12621.00
2020-11-10,12709.00
2020-11-11,12756.00
2020-11-12,12759.00
2020-11-13,12854.00
2020-11-14,12981.00
2020-11-15,13099.00
2020-11-16,13183.00
2020-11-17,13257.00
2020-11-18,13280.00
2020-11-19,13352.00
2020-11-20,13445.00
2020-11-21,13455.00
2020-11-22,13464.00
2020-11-23,13470.00
2020-11-24,13629.00
2020-11-25,13680.00
2020-11-26,13777.00
2020-11-27,13864.00
2020-11-28,13922.00
2020-11-29,14009.00
2020-11-30,14063.00
2020-12-01,14109.00
2020-12-02,14180.00
2020-12-03,14275.00
2020-12-04,14264.00
2020-12-05,14308.00
2020-12-06,14258.00
2020-12-07,14301.00
2020-12-08,14303.00
2020-12-09,14338.00
2020-12-10,14384.00
2020-12-11,14412.00
2020-12-12,14439.00
2020-12-13,14496.00
2020-12-14,14536.00
2020-12-15,14529.00
2020-12-16,14561.00
2020-12-17,14762.00
2020-12-18,14995.00
2020-12-19,15104.00
2020-12-20,15216.00
2020-12-21,15290.00
2020-12-22,15357.00
2020-12-23,15470.00
2020-12-24,15622.00
2020-12-25,15764.00
2020-12-26,15874.00
2020-12-27,15955.00
2020-12-28,16044.00
2020-12-29,16163.00
2020-12-30,15104.00
2020-12-31,15182.00
2021-01-01,15201.00
2021-01-02,15206.00
2021-01-03,15297.00
2021-01-04,15401.00
2021-01-05,15547.00
2021-01-06,15589.00
2021-01-07,15627.00
2021-01-08,15622.00
2021-01-09,15736.00
2021-01-10,15819.00
2021-01-11,15862.00
2021-01-12,15948.00
2021-01-13,16043.00
2021-01-14,16181.00
2021-01-15,16409.00
2021-01-16,16628.00
2021-01-17,16962.00
2021-01-18,17190.00
2021-01-19,17243.00
2021-01-20,17421.00
2021-01-21,17645.00
2021-01-22,17875.00
