date,earnings
2020-08-13,-203642.46
2020-08-14,-6168198.44
2020-08-15,-4679252.82
2020-08-16,-4099155.07
2020-08-17,-2842893.04
2020-08-18,-2534739.57
2020-08-19,-2352776.79
2020-08-20,-2873620.76
2020-08-21,-1751292.95
2020-08-22,-1672600.43
2020-08-23,-1671318.21
2020-08-24,-1552941.96
2020-08-25,-1404447.09
2020-08-26,-5652614.53
2020-08-27,-2610932.83
2020-08-28,-2134808.92
2020-08-29,-2644888.77
2020-08-30,-1980883.77
2020-08-31,-3101952.83
2020-09-01,-3089614.20
2020-09-02,-2672455.57
2020-09-03,-1805122.97
2020-09-04,-2349376.30
2020-09-05,-1284940.05
2020-09-06,-1197989.25
2020-09-07,-1231424.06
2020-09-08,-1054457.20
2020-09-09,-1363169.16
2020-09-10,-1014159.07
2020-09-11,-1277253.56
2020-09-12,-1012978.86
2020-09-13,-2768298.99
2020-09-14,-993013.03
2020-09-15,-842101.10
2020-09-16,-673986.14
2020-09-17,-1527504.37
2020-09-18,-666973.63
2020-09-19,-917769.49
2020-09-20,-942865.58
2020-09-21,-1610472.95
2020-09-22,-720917.46
2020-09-23,-606632.06
2020-09-24,-742149.71
2020-09-25,-764380.47
2020-09-26,-850357.16
2020-09-27,-664436.50
2020-09-28,-659747.25
2020-09-29,-552861.57
2020-09-30,-609188.69
2020-10-01,-768200.76
2020-10-02,-530551.21
2020-10-03,-459706.04
2020-10-04,-542842.97
2020-10-05,-635011.54
2020-10-06,-333899.79
2020-10-07,-442722.97
2020-10-08,-421719.12
2020-10-09,-449007.34
2020-10-10,-392967.48
2020-10-11,-323293.79
2020-10-12,-483323.81
2020-10-13,-356222.57
2020-10-14,-357938.51
2020-10-15,-379090.13
2020-10-16,-319531.40
2020-10-17,-263643.05
2020-10-18,-318339.47
2020-10-19,-301198.21
2020-10-20,-252381.59
2020-10-21,-370039.78
2020-10-22,-303511.71
2020-10-23,-211737.27
2020-10-24,-232504.91
2020-10-25,-196722.34
2020-10-26,-340462.63
2020-10-27,-436580.53
2020-10-28,-273426.68
2020-10-29,-353794.92
2020-10-30,-219262.81
2020-10-31,-192389.01
2020-11-01,-242087.90
2020-11-02,-269451.40
2020-11-03,-223729.51
2020-11-04,-304785.53
2020-11-05,-250637.74
2020-11-06,-278760.96
2020-11-07,-269250.21
2020-11-08,-290379.10
2020-11-09,-305863.48
2020-11-10,-336365.69
2020-11-11,-398168.27
2020-11-12,-293314.72
2020-11-13,-416427.32
2020-11-14,-376811.14
2020-11-15,-460366.52
2020-11-16,-557894.20
2020-11-17,-616884.39
2020-11-18,-509911.34
2020-11-19,-519656.74
2020-11-20,-530794.64
2020-11-21,-438312.76
2020-11-22,-415917.16
2020-11-23,-413606.76
2020-11-24,-430118.60
2020-11-25,-407926.56
2020-11-26,-259515.70
2020-11-27,-360577.75
2020-11-28,-334344.16
2020-11-29,-458415.63
2020-11-30,-425960.27
2020-12-01,-360350.80
2020-12-02,-644156.16
2020-12-03,-614252.17
2020-12-04,-350157.34
2020-12-05,-505008.49
2020-12-06,-475364.28
2020-12-07,-531717.79
2020-12-08,-302999.97
2020-12-09,-334239.96
2020-12-10,-396483.34
2020-12-11,-541589.32
2020-12-12,-312745.99
2020-12-13,-344201.65
2020-12-14,-488590.54
2020-12-15,-325243.87
2020-12-16,-253603.35
2020-12-17,-393743.73
2020-12-18,-967495.00
2020-12-19,-209128.54
2020-12-20,-408676.26
2020-12-21,-499151.36
2020-12-22,-287550.36
2020-12-23,-170812.00
2020-12-24,-160635.95
2020-12-25,-288001.84
2020-12-26,-272724.69
2020-12-27,-261133.68
