date,market_cap_fully_diluted
2020-08-14,50774538090.99
2020-08-15,36657863103.52
2020-08-16,22518258369.30
2020-08-17,19148893767.11
2020-08-18,14405483701.12
2020-08-19,11868711742.22
2020-08-20,12871947578.00
2020-08-21,12738547688.51
2020-08-22,10637553689.20
2020-08-23,10141112051.49
2020-08-24,8837514009.96
2020-08-25,9522774417.24
2020-08-26,9484020260.12
2020-08-27,12019195928.29
2020-08-28,11138322224.42
2020-08-29,11644462728.85
2020-08-30,10286234521.78
2020-08-31,11762825439.60
2020-09-01,14132575777.31
2020-09-02,17978128175.37
2020-09-03,14466221563.69
2020-09-04,9707225299.67
2020-09-05,9542050861.97
2020-09-06,6266241254.69
2020-09-07,7159508463.51
2020-09-08,6900956557.27
2020-09-09,6087428570.91
2020-09-10,6495877253.76
2020-09-11,6479323108.99
2020-09-12,6276783833.06
2020-09-13,6835352654.71
2020-09-14,6302527313.67
2020-09-15,6081900936.58
2020-09-16,4652656339.25
2020-09-17,4251678027.71
2020-09-18,4383491705.97
2020-09-19,4142022480.37
2020-09-20,4896495974.54
2020-09-21,4496352913.46
2020-09-22,3646527031.07
2020-09-23,3555971865.40
2020-09-24,2929134498.33
2020-09-25,3278851913.60
2020-09-26,3206492342.22
2020-09-27,3682437831.47
2020-09-28,3427213167.54
2020-09-29,3319435089.77
2020-09-30,3134532925.95
2020-10-01,3125532256.44
2020-10-02,2854657194.54
2020-10-03,2518683365.90
2020-10-04,2519747985.49
2020-10-05,2305842297.47
2020-10-06,2081746684.00
2020-10-07,1671864025.74
2020-10-08,1723704203.70
2020-10-09,1828422118.75
2020-10-10,2076055533.91
2020-10-11,1842030715.02
2020-10-12,1847337379.16
2020-10-13,1883667781.83
2020-10-14,1801772719.25
2020-10-15,1672681600.89
2020-10-16,1641478743.99
2020-10-17,1419488730.86
2020-10-18,1444759571.21
2020-10-19,1508127972.01
2020-10-20,1366199251.03
2020-10-21,1188355343.85
2020-10-22,1255129601.17
2020-10-23,1347887928.95
2020-10-24,1247927229.02
2020-10-25,1236565139.01
2020-10-26,1114879269.73
2020-10-27,1353568112.37
2020-10-28,2123174458.16
2020-10-29,1626951850.18
2020-10-30,1466136384.65
2020-10-31,1302786021.48
2020-11-01,1375815140.04
2020-11-02,1324464258.55
2020-11-03,1192381158.90
