date,token_incentives
2020-08-13,203642.46
2020-08-14,6168198.44
2020-08-15,4679252.82
2020-08-16,4099155.07
2020-08-17,2842893.04
2020-08-18,2534739.57
2020-08-19,2352776.79
2020-08-20,2873620.76
2020-08-21,1751292.95
2020-08-22,1672600.43
2020-08-23,1671318.21
2020-08-24,1552941.96
2020-08-25,1404447.09
2020-08-26,5652614.53
2020-08-27,2610932.83
2020-08-28,2134808.92
2020-08-29,2644888.77
2020-08-30,1980883.77
2020-08-31,3101952.83
2020-09-01,3089614.20
2020-09-02,2672455.57
2020-09-03,1805122.97
2020-09-04,2349376.30
2020-09-05,1284940.05
2020-09-06,1197989.25
2020-09-07,1231424.06
2020-09-08,1054457.20
2020-09-09,1363169.16
2020-09-10,1014159.07
2020-09-11,1277253.56
2020-09-12,1012978.86
2020-09-13,2768298.99
2020-09-14,993013.03
2020-09-15,842101.10
2020-09-16,673986.14
2020-09-17,1527504.37
2020-09-18,666973.63
2020-09-19,917769.49
2020-09-20,942865.58
2020-09-21,1610472.95
2020-09-22,720917.46
2020-09-23,606632.06
2020-09-24,742149.71
2020-09-25,764380.47
2020-09-26,850357.16
2020-09-27,664436.50
2020-09-28,659747.25
2020-09-29,552861.57
2020-09-30,609188.69
2020-10-01,768200.76
2020-10-02,530551.21
2020-10-03,459706.04
2020-10-04,542842.97
2020-10-05,635011.54
2020-10-06,333899.79
2020-10-07,442722.97
2020-10-08,421719.12
2020-10-09,449007.34
2020-10-10,392967.48
2020-10-11,323293.79
2020-10-12,483323.81
2020-10-13,356222.57
2020-10-14,357938.51
2020-10-15,379090.13
2020-10-16,319531.40
2020-10-17,263643.05
2020-10-18,318339.47
2020-10-19,301198.21
2020-10-20,252381.59
2020-10-21,370039.78
2020-10-22,303511.71
2020-10-23,211737.27
2020-10-24,232504.91
2020-10-25,196722.34
2020-10-26,340462.63
2020-10-27,436580.53
2020-10-28,273426.68
2020-10-29,353794.92
2020-10-30,219262.81
2020-10-31,205259.04
2020-11-01,250741.80
2020-11-02,283081.66
2020-11-03,241638.76
2020-11-04,321386.48
2020-11-05,266051.01
2020-11-06,310771.27
2020-11-07,291836.95
2020-11-08,312352.71
2020-11-09,319225.55
2020-11-10,359793.88
2020-11-11,412263.86
2020-11-12,308018.86
2020-11-13,435865.94
2020-11-14,399316.97
2020-11-15,565222.50
2020-11-16,577293.66
2020-11-17,641577.76
2020-11-18,539256.96
2020-11-19,554290.58
2020-11-20,558706.12
2020-11-21,463340.57
2020-11-22,437902.70
2020-11-23,440359.75
2020-11-24,455883.36
2020-11-25,427107.52
2020-11-26,273462.68
2020-11-27,409048.64
2020-11-28,349860.00
2020-11-29,473075.66
2020-11-30,436124.83
2020-12-01,410343.99
2020-12-02,667568.46
2020-12-03,635249.28
2020-12-04,370181.38
2020-12-05,524781.55
2020-12-06,500563.58
2020-12-07,546627.33
2020-12-08,322260.85
2020-12-09,351264.97
2020-12-10,417347.04
2020-12-11,568503.12
2020-12-12,328182.20
2020-12-13,371022.62
2020-12-14,502205.67
2020-12-15,340589.65
2020-12-16,267612.72
2020-12-17,417083.89
2020-12-18,989710.96
2020-12-19,248625.92
2020-12-20,424340.58
2020-12-21,513549.89
2020-12-22,313658.71
2020-12-23,221333.97
2020-12-24,192281.14
2020-12-25,317975.72
2020-12-26,294135.21
2020-12-27,289580.21
2020-12-28,342083.52
2020-12-29,316944.21
2020-12-30,763472.05
2020-12-31,440833.64
2021-01-01,505292.43
2021-01-02,354638.69
2021-01-03,364111.07
2021-01-04,350796.63
2021-01-05,420148.66
2021-01-06,600319.42
2021-01-07,530639.13
