date,treasury
2020-08-13,1505510650.69
2020-08-14,1653663918.55
2020-08-15,1014931357.35
2020-08-16,876304509.70
2020-08-17,658190762.53
2020-08-18,522856738.71
2020-08-19,584892959.20
2020-08-20,574906901.08
2020-08-21,477916224.74
2020-08-22,460636012.72
2020-08-23,448209310.63
2020-08-24,434084756.40
2020-08-25,427976909.04
2020-08-26,549226164.39
2020-08-27,500551500.41
2020-08-28,528795991.08
2020-08-29,462653946.32
2020-08-30,544531417.83
2020-08-31,682002537.35
2020-09-01,816197574.67
2020-09-02,645932164.37
2020-09-03,435147894.91
2020-09-04,442885587.10
2020-09-05,284583378.85
2020-09-06,327002592.55
2020-09-07,314692295.44
2020-09-08,274542868.62
2020-09-09,297006933.82
2020-09-10,293369678.70
2020-09-11,286675090.33
2020-09-12,311773055.52
2020-09-13,288289105.57
2020-09-14,276847877.10
2020-09-15,212324023.21
2020-09-16,192879791.15
2020-09-17,199424640.33
2020-09-18,186555530.45
2020-09-19,223046068.38
2020-09-20,205992852.98
2020-09-21,166255278.44
2020-09-22,160289048.18
2020-09-23,136311706.49
2020-09-24,149054731.75
2020-09-25,145878299.20
2020-09-26,167715096.38
2020-09-27,155025370.32
2020-09-28,151735700.69
2020-09-29,142941615.33
2020-09-30,143339993.32
2020-10-01,132282214.82
2020-10-02,114044097.35
2020-10-03,115404522.13
2020-10-04,105115963.08
2020-10-05,94218593.54
2020-10-06,76767022.29
2020-10-07,79145514.44
2020-10-08,84446471.50
2020-10-09,94858540.08
2020-10-10,84212147.36
2020-10-11,84008013.82
2020-10-12,85789900.21
2020-10-13,82273765.04
2020-10-14,76426084.60
2020-10-15,74930547.08
2020-10-16,64813118.13
2020-10-17,66003103.19
2020-10-18,68751173.09
2020-10-19,62661413.75
2020-10-20,54333550.25
2020-10-21,57965545.05
2020-10-22,61674460.59
2020-10-23,57285990.55
2020-10-24,56405377.04
2020-10-25,50472658.77
2020-10-26,61981161.98
2020-10-27,98790458.25
2020-10-28,74343701.18
2020-10-29,67375726.41
2020-10-30,60034565.54
2020-10-31,62703585.27
2020-11-01,60305105.74
2020-11-02,54637268.28
2020-11-03,53732639.75
2020-11-04,51705015.70
2020-11-05,54411961.56
2020-11-06,65633656.62
2020-11-07,65153223.29
2020-11-08,71230132.64
2020-11-09,68443249.31
2020-11-10,85477869.73
2020-11-11,82857487.25
2020-11-12,84322163.65
2020-11-13,104168546.63
2020-11-14,108211869.64
2020-11-15,117626717.26
2020-11-16,125188811.91
2020-11-17,132807187.72
2020-11-18,115157302.34
2020-11-19,121134605.67
2020-11-20,129180735.66
2020-11-21,129281649.46
2020-11-22,112724814.38
2020-11-23,111325390.36
2020-11-24,103085676.38
2020-11-25,97896720.57
2020-11-26,89020574.68
2020-11-27,96774709.67
2020-11-28,92542126.74
2020-11-29,99589104.32
2020-11-30,102943824.94
2020-12-01,102880774.84
2020-12-02,121402423.53
2020-12-03,125261338.32
2020-12-04,103505241.45
2020-12-05,111670215.42
2020-12-06,106416803.83
2020-12-07,107108942.25
2020-12-08,91850283.78
2020-12-09,96316990.33
2020-12-10,91060992.72
2020-12-11,85100087.62
2020-12-12,87630324.86
2020-12-13,90584169.80
2020-12-14,94537999.42
2020-12-15,92736149.96
2020-12-16,95468343.31
2020-12-17,96493626.27
2020-12-18,94192236.98
2020-12-19,97851675.71
2020-12-20,90138616.71
2020-12-21,83041878.86
2020-12-22,82976821.28
2020-12-23,62051868.22
2020-12-24,70680918.62
2020-12-25,72081163.63
2020-12-26,69156635.75
2020-12-27,69667581.13
2020-12-28,74060597.57
2020-12-29,70200434.54
2020-12-30,86007840.83
2020-12-31,92766559.19
2021-01-01,92545715.41
2021-01-02,91067407.92
2021-01-03,99989417.20
2021-01-04,99510054.14
2021-01-05,102063016.63
2021-01-06,107972600.76
2021-01-07,106298936.16
2021-01-08,103009454.83
2021-01-09,114459957.21
2021-01-10,112107508.90
2021-01-11,92317621.22
2021-01-12,92153804.32
2021-01-13,101780831.42
2021-01-14,118135121.61
2021-01-15,170677713.54
2021-01-16,163632602.25
2021-01-17,248084148.90
2021-01-18,236524996.64
2021-01-19,197586355.46
2021-01-20,242387108.56
2021-01-21,247956866.73
2021-01-22,291844183.35
2021-01-23,317027558.63
2021-01-24,335728744.29
2021-01-25,296234724.45
2021-01-26,317050508.71
2021-01-27,267500799.80
2021-01-28,307676281.89
2021-01-29,303786949.51
2021-01-30,375448370.95
2021-01-31,371744994.45
2021-02-01,373738947.36
2021-02-02,368145802.28
2021-02-03,391089053.61
2021-02-04,451747594.60
2021-02-05,482379282.28
2021-02-06,463598382.63
2021-02-07,442291389.45
2021-02-08,454206137.84
2021-02-09,473527530.44
2021-02-10,456682320.83
2021-02-11,521164938.48
2021-02-12,500490690.82
2021-02-13,488800691.22
2021-02-14,441516517.30
2021-02-15,400916580.92
2021-02-16,392431069.46
2021-02-17,413644195.55
2021-02-18,414916963.76
2021-02-19,386501108.90
2021-02-20,428295293.97
2021-02-21,429019006.47
2021-02-22,381751172.11
2021-02-23,315507585.71
2021-02-24,318894419.16
2021-02-25,297526833.76
2021-02-26,283393719.05
2021-02-27,290812385.94
2021-02-28,262193416.02
2021-03-01,294938337.13
2021-03-02,372740801.21
2021-03-03,338240484.27
2021-03-04,305183171.79
2021-03-05,304284773.81
2021-03-06,302024076.39
2021-03-07,330858640.95
2021-03-08,351716232.11
2021-03-09,356298752.97
2021-03-10,326993204.99
2021-03-11,322509189.11
2021-03-12,302912668.83
2021-03-13,351411913.38
2021-03-14,314002065.28
2021-03-15,331296101.33
2021-03-16,383984996.76
2021-03-17,360214432.27
2021-03-18,384772033.78
2021-03-19,404078337.81
2021-03-20,399489173.11
2021-03-21,382687050.42
2021-03-22,350319946.74
2021-03-23,426853729.35
2021-03-24,372127303.95
2021-03-25,353333417.74
2021-03-26,387435507.10
2021-03-27,462159822.50
2021-03-28,444588053.99
2021-03-29,521211681.69
2021-03-30,485634534.53
2021-03-31,459266015.59
2021-04-01,492015279.31
2021-04-02,500584994.28
2021-04-03,433686767.44
2021-04-04,457125841.46
2021-04-05,486847222.92
2021-04-06,466943128.86
2021-04-07,426683985.00
2021-04-08,450594391.06
2021-04-09,437003713.75
2021-04-10,436057950.60
2021-04-11,458176599.57
2021-04-12,448414345.34
2021-04-13,461718112.95
2021-04-14,468795309.54
2021-04-15,595184054.47
2021-04-16,582748494.87
2021-04-17,563387625.03
2021-04-18,478417167.42
2021-04-19,415378374.06
2021-04-20,444373195.94
2021-04-21,427081045.74
2021-04-22,410513399.19
2021-04-23,387774880.73
2021-04-24,349291233.97
2021-04-25,350761938.79
2021-04-26,410487622.03
2021-04-27,462914167.45
2021-04-28,447467764.29
2021-04-29,446544823.47
2021-04-30,491609997.11
2021-05-01,503354892.45
2021-05-02,481530487.86
2021-05-03,479896054.45
2021-05-04,420695198.11
2021-05-05,459144884.40
2021-05-06,479534754.08
2021-05-07,536415564.98
2021-05-08,530756343.09
2021-05-09,427514909.21
2021-05-10,381211279.38
2021-05-11,408964748.66
2021-05-12,412540171.05
2021-05-13,414928791.43
2021-05-14,458365087.28
2021-05-15,396553215.76
2021-05-16,404409182.70
2021-05-17,381086790.73
2021-05-18,432664341.13
2021-05-19,247076123.43
2021-05-20,272417383.15
2021-05-21,228003213.30
2021-05-22,201519418.09
2021-05-23,163820289.95
2021-05-24,200795285.86
2021-05-25,198900757.73
2021-05-26,235724579.46
2021-05-27,217345070.67
2021-05-28,196296181.29
2021-05-29,215471402.13
2021-05-30,208042704.17
2021-05-31,243380306.44
2021-06-01,254026666.81
2021-06-02,291209984.07
2021-06-03,311186703.15
2021-06-04,332427138.98
2021-06-05,313036994.97
2021-06-06,303054849.97
2021-06-07,264724130.59
2021-06-08,288490115.60
2021-06-09,312645429.98
2021-06-10,280911708.51
2021-06-11,266396264.62
2021-06-12,257304072.63
2021-06-13,273419822.29
2021-06-14,281267574.53
2021-06-15,278783078.35
2021-06-16,255002981.74
2021-06-17,258700861.19
2021-06-18,238588661.90
2021-06-19,230782489.59
2021-06-20,238839812.85
2021-06-21,179274978.27
2021-06-22,173597383.22
2021-06-23,186077890.84
2021-06-24,207547452.55
2021-06-25,180466754.51
2021-06-26,184936447.90
2021-06-27,196731859.07
2021-06-28,199471703.24
2021-06-29,221329935.92
2021-06-30,225703751.82
2021-07-01,210883947.65
2021-07-02,205820393.33
2021-07-03,218314783.65
2021-07-04,228349517.78
2021-07-05,223764320.73
2021-07-06,243301313.08
2021-07-07,240804511.90
2021-07-08,216958278.74
2021-07-09,219453804.18
2021-07-10,217057904.38
2021-07-11,218238805.12
2021-07-12,207686326.74
2021-07-13,197900872.08
2021-07-14,198335668.69
2021-07-15,186544873.72
