date,tvl
2020-02-09,1163733.16
2020-02-10,1372109.52
2020-02-11,960753.41
2020-02-12,1006407.95
2020-02-13,1258776.41
2020-02-14,1615312.17
2020-02-15,1777653.63
2020-02-16,1784501.21
2020-02-17,1853352.94
2020-02-18,1769284.86
2020-02-19,1855595.55
2020-02-20,1884234.47
2020-02-21,1784691.78
2020-02-22,1606294.27
2020-02-23,1344604.79
2020-02-24,1154323.29
2020-02-25,1087608.49
2020-02-26,1091406.83
2020-02-27,792908.59
2020-02-28,822155.82
2020-02-29,808999.34
2020-03-01,816678.29
2020-03-02,836871.45
2020-03-03,763696.54
2020-03-04,774084.36
2020-03-05,643956.67
2020-03-06,646412.86
2020-03-07,643645.62
2020-03-08,690213.51
2020-03-09,647684.73
2020-03-10,666464.06
2020-03-11,672562.82
2020-03-12,626287.43
2020-03-13,559463.39
2020-03-14,649613.01
2020-03-15,699537.96
2020-03-16,898455.35
2020-03-17,866183.52
2020-03-18,1152787.68
2020-03-19,1184322.71
2020-03-20,1357905.80
2020-03-21,1333468.99
2020-03-22,1233180.68
2020-03-23,1192763.78
2020-03-24,1202677.64
2020-03-25,1193981.36
2020-03-26,1157538.47
2020-03-27,1145274.83
2020-03-28,1114547.42
2020-03-29,1127194.12
2020-03-30,1116740.36
2020-03-31,1127866.12
2020-04-01,1131196.68
2020-04-02,1125472.20
2020-04-03,1110240.25
2020-04-04,1110468.93
2020-04-05,1110555.72
2020-04-06,1105062.55
2020-04-07,1118109.69
2020-04-08,1118945.10
2020-04-09,1129824.02
2020-04-10,1093537.99
2020-04-11,1097357.65
2020-04-12,809415.46
2020-04-13,774516.48
2020-04-14,776883.41
2020-04-15,317282.48
2020-04-16,303359.41
2020-04-17,272502.86
2020-04-18,267454.93
2020-04-19,257512.33
2020-04-20,162639.01
2020-04-21,183599.62
2020-04-22,2224245.75
2020-04-23,9186476.33
2020-04-24,9364664.81
2020-04-25,9597292.85
2020-04-26,9802365.98
2020-04-27,9871369.14
2020-04-28,10005359.01
2020-04-29,10297832.48
2020-04-30,10828912.03
2020-05-01,10881408.79
2020-05-02,11002083.40
2020-05-03,11103262.22
2020-05-04,11038514.43
2020-05-05,11159275.91
2020-05-06,12158933.51
2020-05-07,12576428.88
2020-05-08,12485819.63
2020-05-09,12524366.07
2020-05-10,12116893.53
2020-05-11,12590363.73
2020-05-12,12547641.49
2020-05-13,12464794.52
2020-05-14,12705891.83
2020-05-15,12883955.64
2020-05-16,13042804.77
2020-05-17,13012842.71
2020-05-18,13014488.24
2020-05-19,13222435.20
2020-05-20,13120476.48
2020-05-21,13082702.21
2020-05-22,13104787.84
2020-05-23,12865833.27
2020-05-24,12740156.41
2020-05-25,12620123.65
2020-05-26,12565436.52
2020-05-27,12716131.65
2020-05-28,12632626.35
2020-05-29,12654874.84
2020-05-30,12746203.24
2020-05-31,12752296.83
2020-06-01,12753769.17
2020-06-02,12618360.83
2020-06-03,12560795.27
2020-06-04,12586051.85
2020-06-05,12538586.17
2020-06-06,12834080.06
2020-06-07,12823391.37
2020-06-08,13152717.90
