date,pool_transaction_volume
2021-07-13,92281.94
2021-07-14,1143057.01
2021-07-15,980337.345
2021-07-16,1068035.92
2021-07-17,1012338.1
2021-07-18,963579.18
2021-07-19,737558.61
2021-07-20,1597114.455
2021-07-21,2999749.245
2021-07-22,4650090.815
2021-07-23,3058757.345
2021-07-24,907266.02
2021-07-25,2645987.94
2021-07-26,3948437.795
2021-07-27,5102947.945
2021-07-28,4521739.385
2021-07-29,2771468.715
2021-07-30,1708124.795
2021-07-31,753738.26
2021-08-01,4446268.935
2021-08-02,4836293.945
2021-08-03,4632392.265
2021-08-04,4265089.985
2021-08-05,10548517.81
2021-08-06,17165074.22
2021-08-07,24431927.06
2021-08-08,25625076.49
2021-08-09,22712374.13
2021-08-10,35615786.225
2021-08-11,40513485.995
2021-08-12,28480027.42
2021-08-13,22119885.04
2021-08-14,37314022.32
2021-08-15,29639463.25
2021-08-16,50447848.325
2021-08-17,44894520.425
2021-08-18,40998236.625
2021-08-19,37152910.01
2021-08-20,15823459.22
2021-08-21,13409766.26
2021-08-22,20193446.535
2021-08-23,20784907.995
2021-08-24,31041592.265
2021-08-25,28551842.955
2021-08-26,32139260.01
2021-08-27,33506190.605
2021-08-28,17134457.875
2021-08-29,25669340.38
2021-08-30,24921493.99
2021-08-31,24262209.265
2021-09-01,19294763.15
2021-09-02,24463532.57
2021-09-03,24314348.74
2021-09-04,29417332.19
2021-09-05,62591012.83
2021-09-06,30530738.81
2021-09-07,83311629.68
2021-09-08,90448476.645
2021-09-09,62066674.145
2021-09-10,94283468.625
2021-09-11,64595636.855
2021-09-12,34538254.755
2021-09-13,62926320.92
2021-09-14,54841270.53
2021-09-15,37051120.195
2021-09-16,44384824.53
2021-09-17,48947077.725
2021-09-18,28885288.775
2021-09-19,48964934.33
2021-09-20,128194942.805
2021-09-21,129162358.055
2021-09-22,68353553.76
2021-09-23,81677372.8
2021-09-24,108338846.165
2021-09-25,103766170.64
2021-09-26,50253782.755
2021-09-27,74975598.35
2021-09-28,83193929.045
2021-09-29,46933710.8
2021-09-30,55055723.515
2021-10-01,67284920.625
2021-10-02,50806708.31
2021-10-03,58093239.465
2021-10-04,48800643.11
2021-10-05,45490798.32
2021-10-06,57107788.99
2021-10-07,70833581.265
2021-10-08,52770235.845
2021-10-09,37508791.1
2021-10-10,49282146.135
2021-10-11,39358771.045
2021-10-12,71640405.51
2021-10-13,65873807.105
2021-10-14,36117096.915
2021-10-15,91526776.05
2021-10-16,51204625.32
2021-10-17,89848445.105
2021-10-18,92016695.23
2021-10-19,138468615.34
2021-10-20,78557446.335
2021-10-21,103124297.465
2021-10-22,80518441.45
2021-10-23,54595042.1
2021-10-24,58239176.1
2021-10-25,28077809.98
2021-10-26,64367567.205
2021-10-27,75666922.655
2021-10-28,86500267.295
2021-10-29,55538115.425
2021-10-30,82519983.7
2021-10-31,51986336.435
2021-11-01,61436256.505
2021-11-02,42751119.06
2021-11-03,40512980.725
2021-11-04,65624214.825
2021-11-05,69332905.07
2021-11-06,61897403.51
2021-11-07,23332541.71
2021-11-08,29793021.755
2021-11-09,26293919.97
2021-11-10,78585093.14
2021-11-11,54797703.935
2021-11-12,83187709.13
2021-11-13,49676907.765
2021-11-14,43519765.19
2021-11-15,43273000.33
2021-11-16,214540154.715
2021-11-17,152740304.76
2021-11-18,132043663.485
2021-11-19,61719240.305
2021-11-20,37702228.825
2021-11-21,45023534.74
2021-11-22,137029763.785
2021-11-23,106418928.005
2021-11-24,82607117.9
2021-11-25,45245433.075
2021-11-26,106823146.595
2021-11-27,81941228.215
2021-11-28,147702523.04
2021-11-29,39334839.675
2021-11-30,129189192.065
2021-12-01,123229579.985
2021-12-02,118780067.55
2021-12-03,114507408.295
2021-12-04,254001638.6
2021-12-05,177035992.19
2021-12-06,157669654.585
2021-12-07,82871589.145
2021-12-08,100285253.815
2021-12-09,100467933.615
2021-12-10,139705740.735
2021-12-11,168102123.605
2021-12-12,71153981.365
2021-12-13,136510188.59
2021-12-14,182205153.835
2021-12-15,114310232.1
2021-12-16,56108666.835
2021-12-17,120417381.07
2021-12-18,82399338.115
2021-12-19,111911920.875
2021-12-20,130771802.345
2021-12-21,37153931.215
2021-12-22,41446459.495
2021-12-23,63752462.86
2021-12-24,34449444.94
2021-12-25,50292614.235
2021-12-26,35016679.045
2021-12-27,40774681.395
2021-12-28,33045157.83
2021-12-29,34915555.64
2021-12-30,75262493.255
2021-12-31,91952517.77
2022-01-01,94444935.71
2022-01-02,72866481.63
2022-01-03,58150664.28
2022-01-04,78934363.79
2022-01-05,161283218.3
2022-01-06,202912097.58
2022-01-07,212262446.56
2022-01-08,124931107.74
2022-01-09,71989345.49
2022-01-10,159881209.255
2022-01-11,64839955.845
2022-01-12,30391875.44
2022-01-13,64491163.96
2022-01-14,50847540.155
2022-01-15,25784302.3
2022-01-16,66549258.305
2022-01-17,46202422.48
2022-01-18,50938394.39
2022-01-19,83690837.675
2022-01-20,83721908.445
2022-01-21,552690686.845
2022-01-22,524790483.635
2022-01-23,104671258.71
2022-01-24,231488573.06
2022-01-25,153890256.325
2022-01-26,183621192.175
2022-01-27,143309810.775
2022-01-28,118353312.39
2022-01-29,54462051.695
2022-01-30,76329757.94
2022-01-31,69400190.29
2022-02-01,70265983.67
2022-02-02,111029690.06
2022-02-03,94005508.635
2022-02-04,57028083.57
2022-02-05,33929157.43
2022-02-06,38883831.945
2022-02-07,56758532.3
2022-02-08,118515500.165
2022-02-09,88021369.69
2022-02-10,122630601.2
2022-02-11,157204405.745
2022-02-12,71877814.69
2022-02-13,74182174.855
2022-02-14,67801551.33
2022-02-15,38221503.705
2022-02-16,72632541.005
2022-02-17,93679343.465
2022-02-18,87803509.395
2022-02-19,87443794.4
2022-02-20,79616135.745
2022-02-21,175045839.84
2022-02-22,166099330.605
2022-02-23,80151536.68
2022-02-24,214656541.075
2022-02-25,157310878.845
2022-02-26,115435699.155
2022-02-27,139522392.79
2022-02-28,149221222.06
2022-03-01,127578387.64
