date,crv_trading_volume
2020-08-14,762184.83
2020-08-15,25022924.78
2020-08-16,155037476.68
2020-08-17,71821858.84
2020-08-18,86120516.31
2020-08-19,78858181.74
2020-08-20,111048100.53
2020-08-21,60370314.67
2020-08-22,52852148.19
2020-08-23,35355625.67
2020-08-24,29082090.97
2020-08-25,53988196.75
2020-08-26,69187311.47
2020-08-27,128881820.00
2020-08-28,131258583.25
2020-08-29,78335579.78
2020-08-30,77418243.49
2020-08-31,122451590.37
2020-09-01,137684182.85
2020-09-02,417153537.36
2020-09-03,238361349.85
2020-09-04,182594915.21
2020-09-05,126410658.08
2020-09-06,106354650.56
2020-09-07,121878714.54
2020-09-08,80001370.62
2020-09-09,58742924.88
2020-09-10,79225663.30
2020-09-11,89914525.31
2020-09-12,74042950.54
2020-09-13,107339493.00
2020-09-14,87449397.22
2020-09-15,59739902.94
2020-09-16,65058596.83
2020-09-17,73286345.86
2020-09-18,58110930.25
2020-09-19,86382862.98
2020-09-20,134545915.71
2020-09-21,137332532.33
2020-09-22,109368286.08
2020-09-23,65216636.28
2020-09-24,52132941.23
2020-09-25,46814118.50
2020-09-26,61851919.71
2020-09-27,75019133.64
2020-09-28,64133528.35
2020-09-29,54733618.53
2020-09-30,40262618.75
2020-10-01,37747206.82
2020-10-02,46535393.18
2020-10-03,49222438.70
2020-10-04,37932637.79
2020-10-05,39058595.70
2020-10-06,46828497.42
2020-10-07,51284036.15
2020-10-08,57182571.48
2020-10-09,53235816.61
2020-10-10,59221388.80
2020-10-11,40789733.53
2020-10-12,31310513.97
2020-10-13,29745132.56
2020-10-14,23822222.27
2020-10-15,40228581.46
2020-10-16,23814239.58
2020-10-17,28069120.32
2020-10-18,23857587.13
2020-10-19,19520044.72
2020-10-20,24165730.17
2020-10-21,27583529.17
2020-10-22,24813546.17
2020-10-23,25585181.89
2020-10-24,20071018.75
2020-10-25,24678957.67
2020-10-26,19538035.04
2020-10-27,53712860.51
2020-10-28,127956129.59
2020-10-29,75601528.00
2020-10-30,50093430.30
2020-10-31,38496336.34
2020-11-01,28467418.45
2020-11-02,18750016.80
2020-11-03,21478798.72
2020-11-04,19478367.54
2020-11-05,16656483.07
2020-11-06,23277831.77
2020-11-07,30397279.66
2020-11-08,57190118.89
2020-11-09,33154509.91
2020-11-10,32479308.67
2020-11-11,55816300.11
2020-11-12,86135810.26
2020-11-13,43991930.40
2020-11-14,73297946.26
2020-11-15,94510085.12
2020-11-16,118471535.31
2020-11-17,89801348.60
2020-11-18,96006536.19
2020-11-19,95681166.85
2020-11-20,85474953.81
2020-11-21,114848965.10
2020-11-22,99324787.26
2020-11-23,104386518.71
2020-11-24,66649398.02
2020-11-25,81245047.15
2020-11-26,70677192.69
2020-11-27,93681874.35
2020-11-28,78257642.71
2020-11-29,44216084.06
2020-11-30,52212457.07
2020-12-01,55250528.00
2020-12-02,87846608.63
2020-12-03,103589949.27
2020-12-04,82556914.15
