date,market_cap_circulating
2020-08-14,0.00
2020-08-15,5940563.05
2020-08-16,41630574.27
2020-08-17,44794053.80
2020-08-18,46840611.64
2020-08-19,44275668.52
2020-08-20,36788884.76
2020-08-21,40900867.49
2020-08-22,38951582.15
2020-08-23,40667175.97
2020-08-24,38363470.20
2020-08-25,52751620.98
2020-08-26,54907134.55
2020-08-27,77637789.37
2020-08-28,76188310.67
2020-08-29,80228087.15
2020-08-30,74149348.78
2020-08-31,87349019.09
2020-09-01,110420256.10
2020-09-02,159531783.50
2020-09-03,131025408.22
2020-09-04,91118553.72
2020-09-05,100216428.98
2020-09-06,66271232.77
2020-09-07,79932331.57
2020-09-08,77339803.17
2020-09-09,73821252.95
2020-09-10,81126920.56
2020-09-11,83000780.63
2020-09-12,85532703.00
2020-09-13,94473620.49
2020-09-14,89617543.31
2020-09-15,87435893.58
2020-09-16,70998917.55
2020-09-17,66223534.62
2020-09-18,69710029.95
2020-09-19,69192047.99
2020-09-20,82092467.28
2020-09-21,76331140.28
2020-09-22,62924273.48
2020-09-23,63588319.00
2020-09-24,53670905.19
2020-09-25,60039853.13
2020-09-26,60958744.10
2020-09-27,70668958.84
2020-09-28,66213331.76
2020-09-29,64894489.96
2020-09-30,63727790.95
2020-10-01,64506604.82
2020-10-02,59611825.05
2020-10-03,54213110.89
2020-10-04,54756059.61
2020-10-05,51403390.08
2020-10-06,46496561.13
2020-10-07,39406374.11
2020-10-08,41062086.61
2020-10-09,43939017.23
2020-10-10,51430317.54
2020-10-11,45837450.59
2020-10-12,46426073.83
2020-10-13,47987191.56
2020-10-14,47504936.22
2020-10-15,44484356.67
2020-10-16,44628556.82
2020-10-17,40525999.77
2020-10-18,41167719.30
2020-10-19,44075475.37
2020-10-20,40310699.51
2020-10-21,36269281.82
2020-10-22,38074811.05
2020-10-23,40891633.00
2020-10-24,38069036.69
2020-10-25,37727107.36
2020-10-26,34425995.75
2020-10-27,42056570.61
2020-10-28,62829401.15
2020-10-29,51082028.71
2020-10-30,46388646.28
2020-10-31,41175171.50
2020-11-01,43508746.71
2020-11-02,42153505.14
2020-11-03,38650564.88
2020-11-04,39034369.80
2020-11-05,36793892.68
2020-11-06,39110338.11
2020-11-07,47984280.50
2020-11-08,47571612.62
2020-11-09,52954813.83
2020-11-10,50998840.22
2020-11-11,63238765.74
2020-11-12,62920002.06
2020-11-13,64410376.20
2020-11-14,82307520.19
2020-11-15,85720498.30
2020-11-16,92598770.55
2020-11-17,100226884.64
2020-11-18,108658438.27
2020-11-19,96045999.30
2020-11-20,101967769.68
2020-11-21,109568995.87
2020-11-22,110340196.33
2020-11-23,98316271.54
2020-11-24,97472631.65
2020-11-25,91003007.73
2020-11-26,86750096.88
2020-11-27,77180259.54
2020-11-28,85453989.02
2020-11-29,81885740.51
2020-11-30,88535440.45
2020-12-01,92016442.34
2020-12-02,93893680.38
2020-12-03,111737685.13
2020-12-04,116064813.80
2020-12-05,96029094.00
2020-12-06,104162313.50
2020-12-07,99560290.09
2020-12-08,101277242.36
2020-12-09,87545418.22
2020-12-10,91394909.78
2020-12-11,87471613.95
2020-12-12,82274533.98
2020-12-13,89274564.15
2020-12-14,92826077.30
2020-12-15,98483961.25
2020-12-16,97654784.90
2020-12-17,99823780.35
2020-12-18,102420227.09
2020-12-19,102157693.41
2020-12-20,107105717.61
2020-12-21,100337553.29
2020-12-22,92107892.95
2020-12-23,91675236.08
2020-12-24,71496526.47
2020-12-25,79844514.00
2020-12-26,81921181.71
2020-12-27,78791319.76
2020-12-28,80359473.50
2020-12-29,85174497.34
2020-12-30,81055960.90
2020-12-31,101018486.97
2021-01-01,109846371.47
2021-01-02,111528894.86
2021-01-03,109594079.06
2021-01-04,123518858.82
2021-01-05,118735051.06
2021-01-06,124767472.44
2021-01-07,131872732.12
2021-01-08,129489552.81
2021-01-09,126786522.34
2021-01-10,142665971.57
2021-01-11,140023650.11
2021-01-12,114227185.96
2021-01-13,113963882.92
2021-01-14,128079125.16
2021-01-15,142224339.20
2021-01-16,221227746.67
2021-01-17,211018792.94
2021-01-18,324038472.99
2021-01-19,302195508.92
2021-01-20,261821969.14
2021-01-21,317386336.33
2021-01-22,329886094.29
2021-01-23,390205384.99
2021-01-24,422176512.72
2021-01-25,454013047.28
2021-01-26,401286392.57
2021-01-27,424896630.74
2021-01-28,362525402.36
2021-01-29,420234931.88
2021-01-30,419885405.98
2021-01-31,506601286.26
2021-02-01,522242841.98
2021-02-02,521194285.84
2021-02-03,521496158.06
2021-02-04,559807367.78
2021-02-05,654862624.91
2021-02-06,701265720.56
2021-02-07,678829638.16
2021-02-08,645756096.28
2021-02-09,665626318.80
2021-02-10,699907539.70
2021-02-11,677001707.19
2021-02-12,771266973.72
2021-02-13,750919543.03
2021-02-14,738659949.88
2021-02-15,672394657.51
2021-02-16,608681446.43
2021-02-17,598738749.24
2021-02-18,629578893.63
2021-02-19,630914206.78
2021-02-20,597044710.08
2021-02-21,655278798.16
2021-02-22,677316996.76
2021-02-23,601436199.84
2021-02-24,488285642.10
2021-02-25,499716307.65
2021-02-26,468725690.07
2021-02-27,450062471.09
2021-02-28,461486634.88
2021-03-01,411743911.67
2021-03-02,469209485.09
2021-03-03,590736696.52
2021-03-04,549331271.92
2021-03-05,498423806.80
2021-03-06,493926159.57
2021-03-07,492853477.30
2021-03-08,542218677.91
2021-03-09,575885032.36
2021-03-10,587532999.03
2021-03-11,542576820.91
2021-03-12,528290560.26
2021-03-13,499145307.20
2021-03-14,575221566.20
2021-03-15,528515711.15
2021-03-16,551496565.17
2021-03-17,638634751.83
2021-03-18,611171580.49
2021-03-19,653732327.53
2021-03-20,682087220.54
2021-03-21,682885518.30
2021-03-22,656407933.02
2021-03-23,605780680.38
2021-03-24,740404336.04
2021-03-25,649019550.25
2021-03-26,610507769.60
2021-03-27,673540481.79
2021-03-28,807176354.91
2021-03-29,776739596.83
2021-03-30,925953802.81
2021-03-31,857595866.33
