date,p_s_ratio_circulating
2020-10-31,8.77
2020-11-01,8.31
2020-11-02,6.57
2020-11-03,4.99
2020-11-04,4.61
2020-11-05,4.15
2020-11-06,3.66
2020-11-07,4.24
2020-11-08,4.03
2020-11-09,4.56
2020-11-10,4.21
2020-11-11,5.28
2020-11-12,5.28
2020-11-13,5.33
2020-11-14,6.66
2020-11-15,5.29
2020-11-16,5.75
2020-11-17,6.17
2020-11-18,6.58
2020-11-19,5.67
2020-11-20,5.96
2020-11-21,6.38
2020-11-22,6.44
2020-11-23,5.70
2020-11-24,5.63
2020-11-25,5.29
2020-11-26,5.12
2020-11-27,4.39
2020-11-28,4.92
2020-11-29,4.62
2020-11-30,5.01
2020-12-01,4.92
2020-12-02,4.96
2020-12-03,5.88
2020-12-04,6.08
2020-12-05,5.01
2020-12-06,5.48
2020-12-07,5.29
2020-12-08,5.40
2020-12-09,4.64
2020-12-10,4.87
2020-12-11,4.58
2020-12-12,4.31
2020-12-13,4.63
2020-12-14,4.87
2020-12-15,5.85
2020-12-16,5.85
2020-12-17,6.00
2020-12-18,6.23
2020-12-19,6.17
2020-12-20,6.59
2020-12-21,6.28
2020-12-22,5.73
2020-12-23,5.51
2020-12-24,4.26
2020-12-25,4.68
2020-12-26,4.76
2020-12-27,4.71
2020-12-28,4.63
2020-12-29,4.76
2020-12-30,4.43
2020-12-31,5.37
2021-01-01,5.71
2021-01-02,5.70
2021-01-03,4.96
2021-01-04,5.41
2021-01-05,4.93
2021-01-06,5.02
2021-01-07,5.09
2021-01-08,4.80
2021-01-09,4.55
2021-01-10,5.04
2021-01-11,4.82
2021-01-12,3.79
2021-01-13,3.66
2021-01-14,4.04
2021-01-15,4.29
2021-01-16,6.51
2021-01-17,6.10
2021-01-18,9.35
2021-01-19,8.52
2021-01-20,7.11
2021-01-21,8.47
2021-01-22,8.69
2021-01-23,9.72
2021-01-24,10.32
2021-01-25,10.84
2021-01-26,9.29
2021-01-27,9.65
2021-01-28,8.11
2021-01-29,9.23
2021-01-30,9.12
2021-01-31,10.97
2021-02-01,11.16
2021-02-02,11.50
2021-02-03,11.38
2021-02-04,12.33
2021-02-05,14.20
2021-02-06,15.08
2021-02-07,14.46
2021-02-08,13.60
2021-02-09,13.64
2021-02-10,14.01
2021-02-11,13.29
2021-02-12,14.65
2021-02-13,14.03
2021-02-14,13.71
2021-02-15,12.28
2021-02-16,10.94
2021-02-17,10.57
2021-02-18,10.85
2021-02-19,10.71
2021-02-20,9.92
2021-02-21,10.65
2021-02-22,11.10
2021-02-23,9.57
2021-02-24,7.57
2021-02-25,7.70
2021-02-26,6.87
2021-02-27,6.48
2021-02-28,6.57
2021-03-01,5.75
2021-03-02,6.40
2021-03-03,7.89
2021-03-04,7.12
2021-03-05,6.33
2021-03-06,6.14
2021-03-07,6.05
2021-03-08,6.27
2021-03-09,6.57
2021-03-10,6.59
2021-03-11,6.06
2021-03-12,5.85
2021-03-13,5.44
2021-03-14,6.29
2021-03-15,5.73
2021-03-16,5.94
2021-03-17,6.87
2021-03-18,6.57
2021-03-19,6.86
2021-03-20,7.16
2021-03-21,7.20
2021-03-22,6.91
2021-03-23,6.39
2021-03-24,7.82
2021-03-25,6.76
2021-03-26,6.39
2021-03-27,6.97
2021-03-28,8.59
2021-03-29,8.30
2021-03-30,9.83
2021-03-31,9.16
2021-04-01,8.64
2021-04-02,9.22
2021-04-03,9.40
2021-04-04,8.21
2021-04-05,8.70
2021-04-06,9.20
2021-04-07,9.25
2021-04-08,8.41
2021-04-09,8.77
2021-04-10,8.39
2021-04-11,8.23
2021-04-12,8.71
2021-04-13,8.44
2021-04-14,8.37
2021-04-15,8.36
2021-04-16,10.42
2021-04-17,10.11
2021-04-18,9.92
2021-04-19,8.14
2021-04-20,6.78
2021-04-21,7.01
2021-04-22,6.68
2021-04-23,6.37
2021-04-24,5.93
2021-04-25,5.32
2021-04-26,5.41
2021-04-27,6.22
2021-04-28,6.80
2021-04-29,6.58
2021-04-30,6.46
2021-05-01,7.19
2021-05-02,7.41
2021-05-03,7.24
2021-05-04,7.25
2021-05-05,6.29
2021-05-06,6.83
2021-05-07,7.07
2021-05-08,8.01
2021-05-09,7.94
2021-05-10,8.42
2021-05-11,8.36
2021-05-12,8.98
2021-05-13,10.00
2021-05-14,9.30
2021-05-15,10.06
2021-05-16,8.92
2021-05-17,9.06
2021-05-18,8.91
2021-05-19,10.08
2021-05-20,5.55
2021-05-21,5.83
2021-05-22,4.73
2021-05-23,4.29
2021-05-24,3.31
2021-05-25,3.99
2021-05-26,3.94
2021-05-27,4.69
2021-05-28,4.35
2021-05-29,3.96
2021-05-30,4.28
2021-05-31,4.06
2021-06-01,4.71
2021-06-02,4.91
2021-06-03,5.00
2021-06-04,5.36
2021-06-05,5.74
2021-06-06,5.40
2021-06-07,5.37
2021-06-08,4.76
2021-06-09,5.17
2021-06-10,5.46
2021-06-11,4.94
2021-06-12,4.65
2021-06-13,4.63
2021-06-14,5.00
2021-06-15,5.11
2021-06-16,5.11
2021-06-17,4.64
2021-06-18,4.66
2021-06-19,4.68
2021-06-20,4.77
2021-06-21,5.10
2021-06-22,3.78
2021-06-23,3.89
2021-06-24,4.20
2021-06-25,4.69
2021-06-26,4.23
2021-06-27,4.38
2021-06-28,4.78
2021-06-29,4.90
2021-06-30,5.40
2021-07-01,5.56
2021-07-02,5.17
2021-07-03,5.21
2021-07-04,5.56
2021-07-05,5.92
2021-07-06,5.90
2021-07-07,6.29
2021-07-08,6.27
2021-07-09,5.75
2021-07-10,5.97
2021-07-11,6.02
2021-07-12,6.26
2021-07-13,6.00
2021-07-14,5.69
2021-07-15,5.62
2021-07-16,5.29
2021-07-17,5.24
2021-07-18,5.57
2021-07-19,5.76
2021-07-20,5.53
2021-07-21,5.19
2021-07-22,6.06
2021-07-23,6.84
2021-07-24,7.43
2021-07-25,7.30
2021-07-26,7.36
2021-07-27,7.21
2021-07-28,7.41
2021-07-29,7.24
2021-07-30,8.00
2021-07-31,8.47
2021-08-01,8.87
2021-08-02,8.48
2021-08-03,8.40
2021-08-04,7.54
2021-08-05,7.63
2021-08-06,8.44
2021-08-07,8.91
2021-08-08,8.70
2021-08-09,7.99
2021-08-10,8.22
2021-08-11,8.78
2021-08-12,8.64
2021-08-13,8.53
2021-08-14,9.94
2021-08-15,9.73
2021-08-16,9.73
2021-08-17,9.19
2021-08-18,8.25
2021-08-19,7.99
2021-08-20,8.66
2021-08-21,9.39
2021-08-22,8.98
2021-08-23,9.87
